(whisper_env) [s5880432@a100gpu5 whisper-finetune-mce]$ python -u Fine-tuning-large.py
Dataset structure: DatasetDict({
    train: Dataset({
        features: ['audio', 'sentence'],
        num_rows: 13348
    })
    test: Dataset({
        features: ['audio', 'sentence'],
        num_rows: 703
    })
})
A sample from training set: {'audio': '/scratch/s5880432/whisper-finetune-mce/MCE_Dataset/Audio/1_MCE/1_1.wav', 'sentence': '"你知唔知今日嘅temperature會落到低至10度，一定要著厚d嘅clothes啊！"'}
Map: 100%|█████████████████████████████████████████████████████████████████████████| 13348/13348 [06:49<00:00, 32.58 examples/s]
Map: 100%|█████████████████████████████████████████████████████████████████████████████| 703/703 [00:22<00:00, 31.66 examples/s]
/scratch/s5880432/whisper-finetune-mce/aaa.py:158: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Seq2SeqTrainer.__init__`. Use `processing_class` instead.
  trainer = Seq2SeqTrainer(
Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
--- Starting Multilingual Code-Mixing Fine-tuning ---
  0%|                                                                                                  | 0/4000 [00:00<?, ?it/s]Passing a tuple of `past_key_values` is deprecated and will be removed in Transformers v4.43.0. You should pass an instance of `EncoderDecoderCache` instead, e.g. `past_key_values=EncoderDecoderCache.from_legacy_cache(past_key_values)`.
`use_cache = True` is incompatible with gradient checkpointing. Setting `use_cache = False`...
{'loss': 4.4005, 'grad_norm': 21.406036376953125, 'learning_rate': 4.800000000000001e-07, 'epoch': 0.03}                        
{'loss': 2.3736, 'grad_norm': 9.001749038696289, 'learning_rate': 9.800000000000001e-07, 'epoch': 0.06}                         
{'loss': 1.0968, 'grad_norm': 6.2743096351623535, 'learning_rate': 1.48e-06, 'epoch': 0.09}                                     
{'loss': 0.8279, 'grad_norm': 6.056273937225342, 'learning_rate': 1.98e-06, 'epoch': 0.12}                                      
{'loss': 0.6284, 'grad_norm': 5.7433271408081055, 'learning_rate': 2.46e-06, 'epoch': 0.15}                                     
{'loss': 0.4368, 'grad_norm': 4.855753421783447, 'learning_rate': 2.96e-06, 'epoch': 0.18}                                      
{'loss': 0.4014, 'grad_norm': 4.921746253967285, 'learning_rate': 3.46e-06, 'epoch': 0.21}                                      
{'loss': 0.3793, 'grad_norm': 4.009550094604492, 'learning_rate': 3.96e-06, 'epoch': 0.24}                                      
{'loss': 0.3807, 'grad_norm': 3.552783966064453, 'learning_rate': 4.440000000000001e-06, 'epoch': 0.27}                         
{'loss': 0.3535, 'grad_norm': 4.219579219818115, 'learning_rate': 4.94e-06, 'epoch': 0.3}                                       
{'loss': 0.3364, 'grad_norm': 3.295529365539551, 'learning_rate': 5.4400000000000004e-06, 'epoch': 0.33}                        
{'loss': 0.3211, 'grad_norm': 4.823191165924072, 'learning_rate': 5.94e-06, 'epoch': 0.36}                                      
{'loss': 0.3512, 'grad_norm': 3.8878695964813232, 'learning_rate': 6.440000000000001e-06, 'epoch': 0.39}                        
{'loss': 0.3311, 'grad_norm': 2.9636714458465576, 'learning_rate': 6.9400000000000005e-06, 'epoch': 0.42}                       
{'loss': 0.3287, 'grad_norm': 3.400054454803467, 'learning_rate': 7.440000000000001e-06, 'epoch': 0.45}                         
{'loss': 0.3029, 'grad_norm': 3.523937463760376, 'learning_rate': 7.94e-06, 'epoch': 0.48}                                      
{'loss': 0.2974, 'grad_norm': 3.3155429363250732, 'learning_rate': 8.44e-06, 'epoch': 0.51}                                     
{'loss': 0.3099, 'grad_norm': 2.319267749786377, 'learning_rate': 8.94e-06, 'epoch': 0.54}                                      
{'loss': 0.2904, 'grad_norm': 2.628164052963257, 'learning_rate': 9.440000000000001e-06, 'epoch': 0.57}                         
{'loss': 0.3102, 'grad_norm': 3.821873903274536, 'learning_rate': 9.940000000000001e-06, 'epoch': 0.6}                          
{'loss': 0.311, 'grad_norm': 2.9754650592803955, 'learning_rate': 9.937142857142858e-06, 'epoch': 0.63}                         
{'loss': 0.2898, 'grad_norm': 2.594119071960449, 'learning_rate': 9.865714285714285e-06, 'epoch': 0.66}                                                                                         
 14%|███████████▊                                                                          | 552/4000 [45:52<4:45:22,  4.97s/it]{'loss': 0.2878, 'grad_norm': 3.388561725616455, 'learning_rate': 9.794285714285714e-06, 'epoch': 0.69}                         
{'loss': 0.3117, 'grad_norm': 3.3888933658599854, 'learning_rate': 9.722857142857143e-06, 'epoch': 0.72}                        
{'loss': 0.2963, 'grad_norm': 2.520049571990967, 'learning_rate': 9.651428571428572e-06, 'epoch': 0.75}                         
{'loss': 0.2898, 'grad_norm': 2.6032862663269043, 'learning_rate': 9.58e-06, 'epoch': 0.78}                                     
{'loss': 0.3194, 'grad_norm': 10.176095008850098, 'learning_rate': 9.508571428571429e-06, 'epoch': 0.81}                        
{'loss': 0.2764, 'grad_norm': 2.945939064025879, 'learning_rate': 9.437142857142858e-06, 'epoch': 0.84}                         
{'loss': 0.2698, 'grad_norm': 3.3053958415985107, 'learning_rate': 9.365714285714287e-06, 'epoch': 0.87}                        
{'loss': 0.2912, 'grad_norm': 2.4380648136138916, 'learning_rate': 9.294285714285714e-06, 'epoch': 0.9}                         
{'loss': 0.2769, 'grad_norm': 2.4569880962371826, 'learning_rate': 9.222857142857143e-06, 'epoch': 0.93}                        
{'loss': 0.283, 'grad_norm': 3.0530152320861816, 'learning_rate': 9.151428571428572e-06, 'epoch': 0.96}                         
{'loss': 0.2916, 'grad_norm': 2.100083351135254, 'learning_rate': 9.080000000000001e-06, 'epoch': 0.99}                         
{'loss': 0.1969, 'grad_norm': 1.7136127948760986, 'learning_rate': 9.00857142857143e-06, 'epoch': 1.02}                         
{'loss': 0.1824, 'grad_norm': 2.2428219318389893, 'learning_rate': 8.937142857142857e-06, 'epoch': 1.05}                        
{'loss': 0.1995, 'grad_norm': 2.453624725341797, 'learning_rate': 8.865714285714287e-06, 'epoch': 1.08}                         
{'loss': 0.1859, 'grad_norm': 2.3521673679351807, 'learning_rate': 8.794285714285716e-06, 'epoch': 1.11}                        
{'loss': 0.187, 'grad_norm': 1.8133254051208496, 'learning_rate': 8.722857142857145e-06, 'epoch': 1.14}                         
{'loss': 0.1957, 'grad_norm': 1.810289740562439, 'learning_rate': 8.651428571428572e-06, 'epoch': 1.17}                         
{'loss': 0.1886, 'grad_norm': 2.7264459133148193, 'learning_rate': 8.580000000000001e-06, 'epoch': 1.2}                         
 25%|████████████████████▊                                                              | 1000/4000 [1:22:45<4:03:59,  4.88s/it]Due to a bug fix in https://github.com/huggingface/transformers/pull/28687 transcription using a multilingual Whisper will default to language detection followed by transcription instead of translation to English.This might be a breaking change for your use case. If you want to instead always translate your audio to English, make sure to pass `language='en'`.
The attention mask is not set and cannot be inferred from input because pad token is same as eos token. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
{'eval_loss': 0.21666079759597778, 'eval_wer': 99.29460580912863, 'eval_cer': 33.24911958352473, 'eval_runtime': 619.8163, 'eval_samples_per_second': 1.134, 'eval_steps_per_second': 0.142, 'epoch': 1.2}                                                      
{'loss': 0.1856, 'grad_norm': 2.480955123901367, 'learning_rate': 8.50857142857143e-06, 'epoch': 1.23}                          
{'loss': 0.2104, 'grad_norm': 2.124528646469116, 'learning_rate': 8.437142857142859e-06, 'epoch': 1.26}                         
{'loss': 0.1927, 'grad_norm': 2.737783908843994, 'learning_rate': 8.365714285714286e-06, 'epoch': 1.29}                         
{'loss': 0.1932, 'grad_norm': 2.8387656211853027, 'learning_rate': 8.294285714285715e-06, 'epoch': 1.32}                        
{'loss': 0.1893, 'grad_norm': 1.8115439414978027, 'learning_rate': 8.222857142857144e-06, 'epoch': 1.35}                        
{'loss': 0.187, 'grad_norm': 2.7455015182495117, 'learning_rate': 8.151428571428572e-06, 'epoch': 1.38}                         
{'loss': 0.2097, 'grad_norm': 2.1097490787506104, 'learning_rate': 8.08e-06, 'epoch': 1.41}                                     
{'loss': 0.1793, 'grad_norm': 1.991180419921875, 'learning_rate': 8.00857142857143e-06, 'epoch': 1.44}                          
{'loss': 0.1861, 'grad_norm': 2.10396146774292, 'learning_rate': 7.937142857142857e-06, 'epoch': 1.47}                          
{'loss': 0.1944, 'grad_norm': 1.9164823293685913, 'learning_rate': 7.865714285714286e-06, 'epoch': 1.5}                         
{'loss': 0.2085, 'grad_norm': 2.6355371475219727, 'learning_rate': 7.794285714285715e-06, 'epoch': 1.53}                        
{'loss': 0.1871, 'grad_norm': 2.1521589756011963, 'learning_rate': 7.722857142857142e-06, 'epoch': 1.56}                        
{'loss': 0.1957, 'grad_norm': 2.4807448387145996, 'learning_rate': 7.651428571428571e-06, 'epoch': 1.59}                        
{'loss': 0.1955, 'grad_norm': 2.4437813758850098, 'learning_rate': 7.58e-06, 'epoch': 1.62}                                     
{'loss': 0.1794, 'grad_norm': 2.000136375427246, 'learning_rate': 7.508571428571429e-06, 'epoch': 1.65}                         
